Species,Body mass male (Kg)
Daubentonia_madagascariensis,2.7
Allocebus_trichotis,0.1
Avahi_laniger,1.03
Avahi_occidentalis,0.814
Avahi_unicolor,0.83
Cheirogaleus_adipicaudatus,0.2
Cheirogaleus_crossleyi,0.4
Cheirogaleus_major,0.45
Cheirogaleus_medius,0.217
