ICL,UoR,CEH,ZSL,CEFAS,NonAc
0,0,10,9,5,70
0,0,12,0,2,76
10,12,0,0,0,6
9,0,0,0,0,28
5,2,0,0,0,0
70,76,6,28,0,0
