s35
0
1
300
600
900
1200
1500
1800
2100
2700
3300
3900
4200
4200
3900
3300
2700
2100
1800
1800
2100
2700
3600
4200
4800
5100
5400
5700
6000
6300
6600
6900
7500
8100
9000
9900
10500
