Study,Experiment,Temp,STD.Temp,Met,STD.Met,Cons,STD.Cons,Ratio,Species,Common.name,Source,plotchar,fillcol
5,11,24,0.897,927.936,0.738,25.081,-0.079,1.208,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,6,-2.04,206.668,-1.168,5.83,-1.24,1.026,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,8,-1.713,207.738,-1.165,7.924,-1.113,0.982,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,10,-1.387,227.92,-1.112,9.746,-1.004,0.964,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,12,-1.061,267.214,-1.008,11.296,-0.91,0.968,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,14,-0.734,325.62,-0.853,12.574,-0.833,0.994,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,16,-0.408,403.138,-0.649,13.58,-0.772,1.038,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,18,-0.082,499.768,-0.393,14.314,-0.728,1.102,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,12,20,0.245,615.51,-0.087,14.776,-0.7,1.186,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,10,-1.387,158.204,-1.296,16.741,-0.582,0.791,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,12,-1.061,218,-1.138,19.135,-0.437,0.803,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,14,-0.734,288.668,-0.951,20.769,-0.339,0.833,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,16,-0.408,370.208,-0.736,21.643,-0.286,0.879,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,18,-0.082,462.62,-0.491,21.757,-0.279,0.943,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,20,0.245,565.904,-0.218,21.111,-0.318,1.027,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,22,0.571,680.06,0.083,19.705,-0.403,1.135,Acroneuria californica,Stonefly,Heiman and Knight,24,black
5,13,24,0.897,805.088,0.413,17.539,-0.534,1.273,Acroneuria californica,Stonefly,Heiman and Knight,24,black
6,14,20,-1.31,0.02,-0.96,26.35,-1.17,1.074,Lytechinus variegatus,Variegated Urchin,My study,25,grey
6,14,23,-0.63,0.03,0.24,33.13,-0.02,1.065,Lytechinus variegatus,Variegated Urchin,My study,25,grey
6,14,26,0.05,0.02,-0.96,37.75,0.76,0.639,Lytechinus variegatus,Variegated Urchin,My study,25,grey
6,14,29,0.72,0.03,0.24,40.38,1.21,0.814,Lytechinus variegatus,Variegated Urchin,My study,25,grey
6,14,31,1.17,0.04,1.43,28.62,-0.78,1.688,Lytechinus variegatus,Variegated Urchin,My study,25,grey
7,15,4,-1.42,10.44,-0.77,0.31,-1.42,1.25,Strongylocentrotus deobachiensis,Green Sea Urchin - small,Siikavuopio et al 2008,22,white
7,15,6,-0.85,14.64,-0.12,0.38,-0.96,1.274,Strongylocentrotus deobachiensis,Green Sea Urchin - small,Siikavuopio et al 2008,22,white
7,15,8,-0.28,18.84,0.53,0.38,-0.96,1.487,Strongylocentrotus deobachiensis,Green Sea Urchin - small,Siikavuopio et al 2008,22,white
7,15,10,0.28,23.04,1.18,0.39,-0.89,1.665,Strongylocentrotus deobachiensis,Green Sea Urchin - small,Siikavuopio et al 2008,22,white
7,15,12,0.85,27.24,1.83,0.46,-0.43,1.631,Strongylocentrotus deobachiensis,Green Sea Urchin - small,Siikavuopio et al 2008,22,white
7,15,14,1.42,31.44,2.48,0.63,0.7,1.379,Strongylocentrotus deobachiensis,Green Sea Urchin - small,Siikavuopio et al 2008,22,white
7,16,4,-1.42,10.8,-0.72,0.34,-1.22,1.181,Strongylocentrotus deobachiensis,Green Sea Urchin - medium,Siikavuopio et al 2008,22,grey
7,16,6,-0.85,12.36,-0.48,0.43,-0.63,1.044,Strongylocentrotus deobachiensis,Green Sea Urchin - medium,Siikavuopio et al 2008,22,grey
7,16,8,-0.28,13.92,-0.24,0.49,-0.23,0.998,Strongylocentrotus deobachiensis,Green Sea Urchin - medium,Siikavuopio et al 2008,22,grey
7,16,10,0.28,15.48,0.01,0.56,0.24,0.946,Strongylocentrotus deobachiensis,Green Sea Urchin - medium,Siikavuopio et al 2008,22,grey
7,16,12,0.85,17.04,0.25,0.58,0.37,0.972,Strongylocentrotus deobachiensis,Green Sea Urchin - medium,Siikavuopio et al 2008,22,grey
7,16,14,1.42,18.6,0.49,0.71,1.23,0.859,Strongylocentrotus deobachiensis,Green Sea Urchin - medium,Siikavuopio et al 2008,22,grey
7,17,4,-1.42,7.08,-1.3,0.47,-0.36,0.743,Strongylocentrotus deobachiensis,Green Sea Urchin - large,Siikavuopio et al 2008,22,black
7,17,6,-0.85,8.52,-1.07,0.53,0.04,0.725,Strongylocentrotus deobachiensis,Green Sea Urchin - large,Siikavuopio et al 2008,22,black
7,17,8,-0.28,9.96,-0.85,0.54,0.1,0.768,Strongylocentrotus deobachiensis,Green Sea Urchin - large,Siikavuopio et al 2008,22,black
7,17,10,0.28,11.4,-0.63,0.7,1.16,0.654,Strongylocentrotus deobachiensis,Green Sea Urchin - large,Siikavuopio et al 2008,22,black
