TimePt	NZS
335	27.30999947
336	NA
337	NA
338	27.06999969
339	NA
340	NA
341	NA
342	NA
343	27.89999962
344	NA
345	27.92000008
346	NA
347	28.43000031
348	NA
349	NA
350	NA
351	NA
352	NA
353	NA
354	NA
355	NA
356	NA
357	NA
358	NA
359	NA
360	NA
361	28.48999977
362	NA
363	28.10000038
364	NA
365	NA
366	NA
367	NA
368	NA
369	NA
370	NA
371	NA
372	NA
373	NA
374	NA
375	NA
376	NA
377	NA
378	NA
379	NA
380	NA
381	NA
382	NA
383	NA
384	NA
385	NA
386	NA
387	29.82999992
388	NA
389	NA
390	NA
391	NA
392	NA
393	NA
394	NA
395	NA
396	NA
397	NA
398	NA
399	NA
400	NA
401	NA
402	NA
403	NA
404	NA
405	NA
406	NA
407	NA
408	NA
409	NA
410	NA
411	NA
412	NA
413	NA
414	NA
415	NA
416	NA
417	NA
418	NA
419	28.63999939
420	29.10000038
421	NA
422	NA
423	NA
424	NA
425	NA
426	NA
427	29.5
428	NA
429	29.54000092
430	NA
431	NA
432	NA
433	NA
434	27.84000015
435	NA
436	NA
437	NA
438	NA
439	NA
440	NA
441	NA
442	NA
443	NA
444	NA
445	28.48999977
446	29.10000038
447	NA
448	NA
449	NA
450	NA
451	NA
452	NA
453	NA
454	NA
455	NA
456	NA
457	NA
458	NA
459	NA
460	NA
461	NA
462	NA
463	NA
464	NA
465	NA
466	NA
467	NA
468	26.68000031
469	NA
470	28.35000038
471	28.95000076
472	NA
473	NA
474	NA
475	NA
476	NA
477	NA
478	28.32999992
479	NA
480	NA
481	NA
482	NA
483	NA
484	NA
485	NA
486	NA
487	NA
488	NA
489	NA
490	NA
491	NA
492	NA
493	28.05999947
494	NA
495	27.17000008
496	NA
497	NA
498	NA
499	NA
500	NA
501	NA
502	NA
503	NA
504	NA
505	NA
506	NA
507	NA
508	NA
509	NA
510	NA
511	NA
512	NA
513	NA
514	NA
515	NA
516	26.04999924
517	NA
518	NA
519	NA
520	NA
521	NA
522	NA
523	NA
524	NA
525	NA
526	NA
527	25.72999954
528	NA
529	NA
530	NA
531	NA
532	NA
533	NA
534	NA
535	NA
536	NA
537	25.56999969
538	NA
539	NA
540	NA
541	25.57999992
542	NA
543	NA
544	NA
545	NA
546	NA
547	NA
548	NA
549	NA
550	NA
551	NA
552	NA
553	NA
554	NA
555	NA
556	NA
557	24.71999931
558	NA
559	NA
560	NA
561	NA
562	NA
563	NA
564	NA
565	NA
566	NA
567	26.18000031
568	NA
569	NA
570	NA
571	NA
572	NA
573	NA
574	NA
575	NA
576	NA
577	25.39999962
578	NA
579	NA
580	NA
581	NA
582	NA
583	24.90999985
584	NA
585	NA
586	NA
587	NA
588	NA
589	NA
590	NA
591	NA
592	NA
593	NA
594	NA
595	NA
596	NA
597	NA
598	25.79000092
599	NA
600	NA
601	NA
602	NA
603	24.15999985
604	NA
605	NA
606	NA
607	NA
608	24.90999985
609	NA
610	NA
611	NA
612	NA
613	NA
614	NA
615	NA
616	NA
617	24.15999985
618	NA
619	NA
620	NA
621	NA
622	NA
623	NA
624	NA
625	NA
626	NA
627	NA
628	NA
629	NA
630	NA
631	NA
632	NA
633	NA
634	NA
635	NA
636	NA
637	NA
638	NA
639	NA
640	25
641	NA
642	NA
643	NA
644	NA
645	NA
646	NA
647	NA
648	NA
649	26.32999992
650	25.63999939
651	NA
652	NA
653	NA
654	NA
655	NA
656	NA
657	26.45999908
658	NA
659	NA
660	NA
661	NA
662	NA
663	NA
664	NA
665	NA
666	NA
667	NA
668	NA
669	NA
670	NA
671	NA
672	24.20000076
673	NA
674	NA
675	NA
676	NA
677	NA
678	NA
679	NA
680	26.09000015
681	25.95000076
682	25.76000023
683	NA
684	26.25
685	NA
686	NA
687	NA
688	NA
689	25.95999908
690	NA
691	NA
692	NA
693	27.36000061
694	NA
695	NA
696	NA
697	NA
698	NA
699	NA
700	NA
701	NA
702	NA
703	NA
704	NA
705	NA
706	NA
707	27.04999924
708	NA
709	NA
710	NA
711	NA
712	NA
713	NA
714	NA
715	NA
716	NA
717	NA
718	NA
719	NA
720	NA
721	NA
722	NA
723	NA
724	NA
725	NA
726	NA
727	NA
728	NA
729	27.61000061
730	NA
731	NA
732	NA
733	27.84000015
734	NA
735	NA
736	NA
737	NA
738	NA
739	NA
740	NA
741	NA
742	NA
743	NA
744	NA
745	NA
746	NA
747	28.01000023
748	28.30999947
749	NA
750	NA
751	NA
752	NA
753	NA
754	NA
755	NA
756	NA
757	NA
758	NA
759	NA
760	NA
761	NA
762	NA
763	NA
764	NA
765	NA
766	NA
767	NA
768	NA
769	NA
770	28.56999969
771	NA
772	NA
773	NA
774	NA
775	NA
776	NA
777	NA
778	NA
779	NA
780	NA
781	NA
782	NA
783	NA
784	NA
785	NA
786	NA
787	NA
788	28.51000023
789	28.71999931
790	28.10000038
791	NA
792	NA
793	NA
794	NA
795	NA
796	NA
797	NA
798	NA
799	NA
800	NA
801	NA
802	NA
803	NA
804	28.54000092
805	NA
806	NA
807	NA
808	NA
809	NA
810	NA
811	NA
812	NA
813	NA
814	NA
815	NA
816	NA
817	NA
818	NA
819	28.98999977
820	NA
821	NA
822	NA
823	NA
824	NA
825	NA
826	NA
827	NA
828	NA
829	NA
830	NA
831	29.46999931
832	NA
833	NA
834	NA
835	28.22999954
836	NA
837	28.77000046
838	NA
839	NA
840	NA
841	NA
842	NA
843	NA
844	NA
845	NA
846	27.88999939
847	NA
848	NA
849	NA
850	NA
851	NA
852	NA
853	NA
854	NA
855	NA
856	NA
857	NA
858	NA
859	NA
860	NA
861	NA
862	NA
863	NA
864	NA
865	NA
866	NA
867	NA
868	NA
869	NA
870	NA
871	27.05999947
872	NA
873	NA
874	NA
875	NA
876	NA
877	NA
878	NA
879	NA
880	NA
881	NA
882	NA
883	NA
884	NA
885	NA
886	NA
887	NA
888	NA
889	NA
890	NA
891	NA
892	NA
893	NA
894	NA
895	NA
896	NA
897	NA
898	NA
899	NA
900	NA
