temp
35.3
44.9
42
49.1
33
16.2
16.4
18.1
26.6
18.3
4.3
-2.8
1.3
8.4
18.4
12.8
-2.7
-0.1
8.1
28.9
31.6
42.2
25.2
29.2
17.2
5
23.4
4.7
4.8
16.6
30.4
33.6
35.2
31.8
33.7
31.1
27.4
25
28.4
24.9
27.3
25.3
22.9
21.1
25.6
22.1
23
24.5
45.8
43.5
33.4
39.7
26.1
32
21.5
21.6
35.4
34.7
35.9
