Time,Time at which measurement was taken.
PopBio,Population or biomass measurement.
Temp,Temperature at which the microbe was grown (degrees Celsius).
Time_units,Units time is measured in.
PopBio_units,Units population or biomass are measured in.
Species, Species or strain used.
Medium, Medium the microbe was grown in.
Rep, Replicate within the experiment.
Citation, Citation for the paper in which the study was recorded.
