Student ID,Strain,Treatment,ColonyCount,HaloLawn
B2,421,Control,606,NA
B8,899,NG,608,NA
A11,421,NG,612,NA
B17,TA102,NG,612,NA
A14,TA102,NG,631,NA
B9,899,NG,680,NA
A10,899,NG,700,NA
B14,421,Control,700,NA
B16,899,NG,710,NA
B4,899,NG,716,NA
B2,899,NG,720,NA
B12,421,Control,744,NA
A7,899,NG,750,NA
B1,899,NG,753,NA
B17,421,Control,760,NA
B15,TA102,NG,770,NA
B6,899,NG,784,NA
A10,TA102,NG,800,NA
B14,TA102,NG,800,NA
B11,899,NG,810,NA
B17,899,NG,815,NA
B3,TA102,NG,836,NA
A15,899,NG,848,NA
B15,899,NG,906,NA
B11,421,Control,912,NA
B4,421,Control,1188,NA
B1,TA102,NG,1192,NA
B14,899,NG,1300,NA
B6,421,Control,1304,NA
B4,TA102,NG,1312,NA
B16,TA102,NG,1320,NA
B16,421,Control,1540,NA
B13,712,Control,1696,NA
B15,421,Control,1962,NA
B6,TA102,NG,2144,NA
A15,TA102,NG,2367,NA
B13,TA102,Control,2400,NA
A4,421,Strep,0,N
A1,712,NG,NA,NA
A11,712,NG,NA,NA
A11,TA102,NG,NA,NA
A12,421,Control,NA,NA
A12,712,Control,NA,NA
A12,881,Control,NA,NA
A13,421,NG,NA,NA
A13,421,Control,NA,NA
A13,881,NG,NA,NA
A13,TA102,NG,NA,NA
A17,881,Control,NA,NA
A2,421,NG,NA,NA
A2,421,Control,NA,NA
A2,899,NG,NA,NA
A2,899,Control,NA,NA
A2,712,NG,NA,NA
A2,712,Control,NA,NA
A2,881,NG,NA,NA
A2,881,Control,NA,NA
A2,TA102,NG,NA,NA
A2,TA102,Control,NA,NA
A3,421,NG,NA,NA
A3,899,NG,NA,NA
A3,712,NG,NA,NA
A4,899,NG,NA,NA
A4,899,Control,NA,NA
A4,712,Control,NA,NA
A4,881,Control,NA,NA
A5,712,Control,NA,NA
A5,881,Control,NA,NA
A6,881,NG,NA,NA
A6,881,Control,NA,NA
A7,421,NG,NA,NA
A7,712,NG,NA,NA
A8,899,NG,NA,NA
B10,881,NG,NA,NA
B10,881,Control,NA,NA
B10,TA102,NG,NA,NA
B10,TA102,Control,NA,NA
B13,421,NG,NA,NA
B13,421,Control,NA,NA
B13,899,NG,NA,NA
B13,881,NG,NA,NA
B13,881,Control,NA,NA
B5,421,NG,NA,NA
B9,881,NG,NA,NA
A17,TA102,NG,0,NA
A1,712,His,0,Y
A3,421,His,0,Y
A3,899,His,0,Y
A3,881,His,0,Y
A3,TA102,Strep,0,Y
A3,TA102,His,0,Y
A1,421,Strep,0,Y
A1,421,His,0,Y
A1,899,Strep,0,N
A1,899,His,0,Y
A1,712,Strep,0,NA
A1,881,Strep,0,Y
A1,881,His,0,Y
A1,TA102,Strep,0,Y
A1,TA102,His,0,Y
A10,421,Strep,0,Y
A10,421,His,0,Y
A10,899,Strep,0,N
A10,899,His,0,Y
A10,712,Strep,0,N
A10,712,His,0,Y
A10,881,Strep,0,Y
A10,881,His,0,Y
A10,TA102,Strep,0,Y
A10,TA102,His,0,Y
A11,421,Strep,0,Y
A11,421,His,0,Y
A11,899,Strep,0,N
A11,899,His,0,Y
A11,712,Strep,0,NA
A11,712,His,0,Y
A11,881,Strep,0,Y
A11,881,His,0,Y
A11,TA102,Strep,0,Y
A11,TA102,His,0,Y
A12,421,Strep,0,Y
A12,421,His,0,NA
A12,899,Strep,0,N
A12,899,His,0,Y
A12,712,Strep,0,N
A12,712,His,0,NA
A12,881,Strep,0,N
A12,881,His,0,NA
A12,TA102,Strep,0,Y
A12,TA102,His,0,Y
A13,421,Strep,0,NA
A13,421,His,0,NA
A13,899,Strep,0,Y
A13,899,His,0,Y
A13,712,Strep,0,N
A13,712,His,0,Y
A13,881,Strep,0,N
A13,881,His,0,NA
A13,TA102,Strep,0,Y
A13,TA102,His,0,Y
A14,421,Strep,0,Y
A14,421,His,0,Y
A14,899,Strep,0,Y
A14,899,His,0,Y
A14,712,Strep,0,N
A14,712,His,0,Y
A14,881,Strep,0,Y
A14,881,His,0,Y
