357,170,MTD37,Gymnocephalus cernuus,ruffe,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernuus
362,180,MTD38,Gymnocephalus cernuus,ruffe,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernuus
367,190,MTD39,Gymnocephalus cernuus,ruffe,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernuus
372,200,MTD40,Oncorhynchus mykiss,rainbow trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
376,202,MTD41,Gasterosteus aculeatus,three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
379,203,MTD42,Lepomis incisor,sunfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis incisor
384,205,MTD43,Astacus astacus,european crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Astacus,Astacus astacus
390,207,MTD44,Lepomis incisor,sunfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis incisor
396,209,MTD45,Lepomis gibbosus,pumpkinseed,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
403,211,MTD46,Lepomis gibbosus,pumpkinseed,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
410,213,MTD47,Lepomis gibbosus,pumpkinseed,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
416,215,MTD48,Lepomis gibbosus,pumpkinseed,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
421,217,MTD49,Lepomis gibbosus,pumpkinseed,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
426,220,MTD50,Astacus astacus,european crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Astacus,Astacus astacus
434,229,MTD51,Micropterus salmoides,largemouth bass,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus salmoides
442,235,MTD52,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
449,236,MTD53,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
456,237,MTD54,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
461,241,MTD55,Puntius schwanenfeldii,tinfoil barb,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius schwanenfeldii
464,242,MTD56,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
470,248,MTD57,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
477,250,MTD58,Notonecta glauca,back-swimmer,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta glauca
479,252,MTD59,Barbus barbus,river barbel,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus barbus
483,254,MTD60,Notonecta glauca,back-swimmer,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta glauca
485,256,MTD61,Oncorhynchus mykiss,rainbow trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
490,258,MTD62,Oncorhynchus mykiss,rainbow trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
495,259,MTD63,Puntius schwanenfeldii,tinfoil barb,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius schwanenfeldii
498,260,MTD64,Acroneuria californica,stonefly,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria californica
522,261,MTD65,Acroneuria californica,stonefly,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria californica
546,262,MTD66,Acroneuria californica,stonefly,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria californica
563,263,MTD67,Barbus barbus,river barbel,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus barbus
567,264,MTD68,Acroneuria californica,stonefly,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria californica
591,265,MTD69,Acroneuria californica,stonefly,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria californica
612,266,MTD70,Acroneuria californica,stonefly,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria californica
